game_uid,sequence,winner_side,winner
0mBVyU51hk_R01-M001_G1,"blue_ban_Angela,red_ban_Roger,blue_ban_Mathilda,red_ban_Luo Yi,blue_ban_Floryn,red_ban_Arlott,blue_ban_Minotaur,red_ban_Ling,blue_ban_Rafaela,red_ban_Nolan,blue_pick_X.Borg,red_pick_Barats,red_pick_Baxia,blue_pick_Fredrinn,blue_pick_Valentina,red_pick_Faramis,red_pick_Natan,blue_pick_Harith,blue_pick_Grock,red_pick_Helcurt",blue,1
0mBVyU51hk_R01-M001_G2,"blue_ban_Helcurt,red_ban_Roger,blue_ban_Natan,red_ban_Harith,blue_ban_Faramis,red_ban_Luo Yi,blue_ban_Brody,red_ban_Ling,blue_ban_Moskov,red_ban_Barats,blue_pick_Cici,red_pick_Paquito,red_pick_Fredrinn,blue_pick_Alice,blue_pick_Angela,red_pick_Lunox,red_pick_Valentina,blue_pick_Claude,blue_pick_Mathilda,red_pick_Minotaur",red,0
0mBVyU51hk_R01-M001_G3,"blue_ban_Minotaur,red_ban_Roger,blue_ban_Lunox,red_ban_Harith,blue_ban_Natan,red_ban_Luo Yi,blue_ban_Faramis,red_ban_Nana,blue_ban_Paquito,red_ban_Novaria,blue_pick_X.Borg,red_pick_Benedetta,red_pick_Barats,blue_pick_Fredrinn,blue_pick_Aurora,red_pick_Valentina,red_pick_Claude,blue_pick_Karrie,blue_pick_Mathilda,red_pick_Grock",blue,1
0mBVyU51hk_R01-M002_G1,"blue_ban_Angela,red_ban_Harith,blue_ban_Luo Yi,red_ban_Roger,blue_ban_Mathilda,red_ban_Chip,blue_ban_Minotaur,red_ban_Arlott,blue_ban_Rafaela,red_ban_Natan,blue_pick_Benedetta,red_pick_Yu Zhong,red_pick_Barats,blue_pick_Fredrinn,blue_pick_Faramis,red_pick_Valentina,red_pick_Claude,blue_pick_Karrie,blue_pick_Edith,red_pick_Grock",red,0
0mBVyU51hk_R01-M002_G2,"blue_ban_Chip,red_ban_Luo Yi,blue_ban_Roger,red_ban_Harith,blue_ban_Nolan,red_ban_Yu Zhong,blue_ban_Thamuz,red_ban_Vexana,blue_ban_Terizla,red_ban_Cici,blue_pick_Paquito,red_pick_Benedetta,red_pick_Barats,blue_pick_Fredrinn,blue_pick_Pharsa,red_pick_Valentina,red_pick_Moskov,blue_pick_Brody,blue_pick_Minotaur,red_pick_Mathilda",red,0
0mBVyU51hk_R01-M002_G3,"blue_ban_Yu Zhong,red_ban_Chip,blue_ban_Angela,red_ban_Roger,blue_ban_Minotaur,red_ban_Barats,blue_ban_Mathilda,red_ban_Grock,blue_ban_Kaja,red_ban_Edith,blue_pick_Terizla,red_pick_Phoveus,red_pick_Fredrinn,blue_pick_Nolan,blue_pick_Novaria,red_pick_Luo Yi,red_pick_Moskov,blue_pick_Harith,blue_pick_Chou,red_pick_Arlott",blue,1
0mBVyU51hk_R02-M001_G1,"blue_ban_Chip,red_ban_Luo Yi,blue_ban_Harith,red_ban_Ling,blue_ban_Mathilda,red_ban_Roger,blue_ban_Chou,red_ban_Barats,blue_ban_Kaja,red_ban_Nolan,blue_pick_X.Borg,red_pick_Yu Zhong,red_pick_Fredrinn,blue_pick_Guinevere,blue_pick_Valentina,red_pick_Vexana,red_pick_Claude,blue_pick_Natan,blue_pick_Minotaur,red_pick_Arlott",red,0
0mBVyU51hk_R02-M001_G2,"blue_ban_Ling,red_ban_Chip,blue_ban_Minotaur,red_ban_Mathilda,blue_ban_Angela,red_ban_Nolan,blue_ban_Luo Yi,red_ban_Moskov,blue_ban_Grock,red_ban_Claude,blue_pick_Benedetta,red_pick_Yu Zhong,red_pick_Roger,blue_pick_Fredrinn,blue_pick_Vexana,red_pick_Nana,red_pick_Harith,blue_pick_Karrie,blue_pick_Arlott,red_pick_Ruby",blue,1
0mBVyU51hk_R02-M001_G3,"blue_ban_Chip,red_ban_Ling,blue_ban_Arlott,red_ban_Luo Yi,blue_ban_Roger,red_ban_Harith,blue_ban_Benedetta,red_ban_X.Borg,blue_ban_Yu Zhong,red_ban_Cici,blue_pick_Lapu-Lapu,red_pick_Thamuz,red_pick_Barats,blue_pick_Fredrinn,blue_pick_Valentina,red_pick_Vexana,red_pick_Natan,blue_pick_Moskov,blue_pick_Grock,red_pick_Mathilda",red,0
14oE4MSFPc_0001_G1,"blue_ban_Luo Yi,red_ban_Fredrinn,blue_ban_Chip,red_ban_Lancelot,blue_ban_X.Borg,red_ban_Brody,blue_ban_Minotaur,red_ban_Barats,blue_ban_Floryn,red_ban_Martis,blue_pick_Yu Zhong,red_pick_Cici,red_pick_Ling,blue_pick_Baxia,blue_pick_Novaria,red_pick_Kagura,red_pick_Hanabi,blue_pick_Harith,blue_pick_Angela,red_pick_Edith",blue,1
14oE4MSFPc_0001_G2,"blue_ban_Lancelot,red_ban_Luo Yi,blue_ban_Xavier,red_ban_Chip,blue_ban_Angela,red_ban_Harith,blue_ban_Yin,red_ban_Floryn,blue_ban_Benedetta,red_ban_Edith,blue_pick_Gatotkaca,red_pick_Yu Zhong,red_pick_Ling,blue_pick_Jawhead,blue_pick_Gusion,red_pick_Lylia,red_pick_Karrie,blue_pick_Hanabi,blue_pick_Fredrinn,red_pick_Grock",red,0
